hcp_id,hcp_name,specialty,hcp_tier,territory_id,city,state,affiliated_hospital,years_practicing,patient_volume,preferred_channel,email_opt_in
HCP0191,Dr. Dhriti Sane,Dermatologist,Tier 2,T011,Ahmedabad,Gujarat,Kumer-Prasad Hospital,4,824,Phone,False
HCP0192,Dr. Urvi Bhavsar,Cardiologist,Tier 1,T012,Jaipur,Rajasthan,Chada Inc Hospital,32,491,Webinar,True
HCP0193,Dr. Gopal Pradhan,Oncologist,Tier 3,T001,Pune,Maharashtra,Bhasin PLC Hospital,30,155,In-person,False
HCP0194,Dr. Jason Roy,Orthopedic Surgeon,Tier 1,T002,Mumbai,Maharashtra,Sampath-Behl Hospital,10,361,Phone,False
HCP0195,Dr. Devika Pandey,Orthopedic Surgeon,Tier 2,T003,Nashik,Maharashtra,Tripathi and Sons Hospital,31,597,Webinar,True
HCP0196,Dr. Vasatika Kapur,Diabetologist,Tier 3,T004,Nagpur,Maharashtra,Palla PLC Hospital,15,520,Webinar,True
HCP0197,Dr. Ishwar Mallick,Neurologist,Tier 2,T005,Delhi,Delhi,"Kara, Sanghvi and Bal Hospital",31,488,Webinar,True
HCP0198,Dr. Ayush Gole,Gastroenterologist,Tier 2,T006,Gurgaon,Haryana,More-Nori Hospital,18,463,Email,False
HCP0199,Dr. Abeer Golla,Diabetologist,Tier 1,T007,Bengaluru,Karnataka,Rattan Inc Hospital,7,175,Webinar,True
HCP0200,Dr. Azaan Chand,Gastroenterologist,Tier 3,T008,Hyderabad,Telangana,"Wali, Kale and Puri Hospital",5,680,Phone,True
HCP0201,Dr. Sudiksha Om,Neurologist,Tier 2,T009,Chennai,Tamil Nadu,Pingle LLC Hospital,29,818,In-person,False
HCP0202,Dr. Frado Ben,Orthopedic Surgeon,Tier 2,T010,Kolkata,West Bengal,Dugar PLC Hospital,8,671,Email,True
HCP0203,Dr. Finn Magar,Oncologist,Tier 2,T011,Ahmedabad,Gujarat,Samra-Sunder Hospital,8,438,Phone,True
HCP0204,Dr. Oeshi Mahajan,General Physician,Tier 3,T012,Jaipur,Rajasthan,Vala Inc Hospital,29,654,In-person,False
HCP0205,Dr. Qushi Choudhry,Cardiologist,Tier 1,T001,Pune,Maharashtra,Sur-Vyas Hospital,21,427,Phone,True
HCP0206,Dr. Chakradev Kannan,Endocrinologist,Tier 3,T002,Mumbai,Maharashtra,Bhakta-Amble Hospital,27,151,Email,True
HCP0207,Dr. Charvi Kakar,Diabetologist,Tier 3,T003,Nashik,Maharashtra,Kumer LLC Hospital,15,465,Webinar,False
HCP0208,Dr. Jagdish Amble,Gastroenterologist,Tier 1,T004,Nagpur,Maharashtra,Sani-Gill Hospital,21,818,Phone,True
HCP0209,Dr. Lajita Walia,Cardiologist,Tier 1,T005,Delhi,Delhi,"Karpe, Tella and Pandya Hospital",5,770,In-person,False
HCP0210,Dr. Mekhala Basak,Oncologist,Tier 3,T006,Gurgaon,Haryana,Bahl-Sharaf Hospital,33,701,Webinar,False
HCP0211,Dr. Dhriti Sanghvi,General Physician,Tier 2,T007,Bengaluru,Karnataka,"Ravel, Sahni and Mann Hospital",34,196,Phone,False
HCP0212,Dr. Nidhi Bail,Diabetologist,Tier 2,T008,Hyderabad,Telangana,Garg-Sharma Hospital,33,619,Phone,True
HCP0213,Dr. Gaurang Sarkar,Pulmonologist,Tier 2,T009,Chennai,Tamil Nadu,Kohli Group Hospital,5,87,Email,False
HCP0214,Dr. Farhan Randhawa,Pulmonologist,Tier 3,T010,Kolkata,West Bengal,Nori-Kant Hospital,18,376,Phone,True
HCP0215,Dr. Om Bose,Cardiologist,Tier 2,T011,Ahmedabad,Gujarat,"Comar, Wali and Uppal Hospital",29,259,Email,False
HCP0216,Dr. Ikshita Panchal,Dermatologist,Tier 3,T012,Jaipur,Rajasthan,"Divan, Keer and Chauhan Hospital",34,652,Phone,True
HCP0217,Dr. Aahana Hora,Neurologist,Tier 3,T001,Pune,Maharashtra,Dua Ltd Hospital,4,526,In-person,False
HCP0218,Dr. Peter Tak,Diabetologist,Tier 3,T002,Mumbai,Maharashtra,Sen-Naidu Hospital,29,667,Webinar,False
HCP0219,Dr. Matthew Sarraf,General Physician,Tier 1,T003,Nashik,Maharashtra,Singh Group Hospital,3,412,Email,False
HCP0220,Dr. Anvi Bhalla,Gastroenterologist,Tier 1,T004,Nagpur,Maharashtra,Tripathi-Borah Hospital,8,329,Webinar,False
HCP0221,Dr. Triya Seth,Dermatologist,Tier 1,T005,Delhi,Delhi,Bhandari LLC Hospital,21,843,Phone,True
HCP0222,Dr. Faraj Chana,Gastroenterologist,Tier 3,T006,Gurgaon,Haryana,"Tripathi, Rajagopalan and Shere Hospital",6,602,In-person,True
HCP0223,Dr. Shivani Guha,Gastroenterologist,Tier 2,T007,Bengaluru,Karnataka,Soni-Thaker Hospital,11,321,In-person,True
HCP0224,Dr. David Seshadri,General Physician,Tier 1,T008,Hyderabad,Telangana,Oza Ltd Hospital,11,858,In-person,True
HCP0225,Dr. Yamini Gera,Oncologist,Tier 2,T009,Chennai,Tamil Nadu,Kota Ltd Hospital,30,777,Phone,False
HCP0226,Dr. Reva Viswanathan,Endocrinologist,Tier 2,T010,Kolkata,West Bengal,"Dutt, Patla and Pradhan Hospital",32,532,Phone,False
HCP0227,Dr. Lila Rege,Orthopedic Surgeon,Tier 1,T011,Ahmedabad,Gujarat,Ben-Natt Hospital,34,155,Phone,False
HCP0228,Dr. Forum Chandra,Oncologist,Tier 1,T012,Jaipur,Rajasthan,"Raju, Mander and Krishnan Hospital",25,373,In-person,True
HCP0229,Dr. Gauri Bumb,Orthopedic Surgeon,Tier 3,T001,Pune,Maharashtra,"Dhaliwal, Palla and Mukherjee Hospital",26,553,In-person,False
HCP0230,Dr. Kai Chad,Orthopedic Surgeon,Tier 3,T002,Mumbai,Maharashtra,Puri-Narasimhan Hospital,22,699,Webinar,True
HCP0231,Dr. Girik Sampath,Cardiologist,Tier 2,T003,Nashik,Maharashtra,"Pathak, Badami and Patil Hospital",23,811,In-person,True
HCP0232,Dr. Pranit Kala,Cardiologist,Tier 2,T004,Nagpur,Maharashtra,Sunder-Handa Hospital,30,529,Email,False
HCP0233,Dr. Laksh Dubey,Gastroenterologist,Tier 3,T005,Delhi,Delhi,Merchant Inc Hospital,26,498,Phone,True
HCP0234,Dr. Gayathri Deep,Gastroenterologist,Tier 1,T006,Gurgaon,Haryana,"Puri, Dube and Gaba Hospital",8,651,Webinar,False
HCP0235,Dr. Noah Sarma,General Physician,Tier 3,T007,Bengaluru,Karnataka,Roy LLC Hospital,11,421,In-person,True
HCP0236,Dr. Sachi Mane,Gastroenterologist,Tier 2,T008,Hyderabad,Telangana,"Sen, Kaur and Walla Hospital",27,212,In-person,False
HCP0237,Dr. Dayamai Singh,Dermatologist,Tier 2,T009,Chennai,Tamil Nadu,Pillai Ltd Hospital,23,210,In-person,False
HCP0238,Dr. Triya Manda,Dermatologist,Tier 2,T010,Kolkata,West Bengal,Thakkar-Wable Hospital,25,396,Email,True
HCP0239,Dr. Neel Iyengar,Gastroenterologist,Tier 3,T011,Ahmedabad,Gujarat,"Devi, Krishna and Ben Hospital",33,276,Email,True
HCP0240,Dr. Kamya Chauhan,Endocrinologist,Tier 1,T012,Jaipur,Rajasthan,"Varty, Dash and Mane Hospital",8,599,In-person,False
HCP0241,Dr. Naveen Mahajan,Orthopedic Surgeon,Tier 1,T001,Pune,Maharashtra,Varghese-Din Hospital,26,237,Email,True
HCP0242,Dr. Gavin Kapadia,Orthopedic Surgeon,Tier 3,T002,Mumbai,Maharashtra,Palla-Bala Hospital,12,818,Webinar,True
HCP0243,Dr. Chatresh Randhawa,Neurologist,Tier 2,T003,Nashik,Maharashtra,"Prakash, Keer and Raju Hospital",17,534,Phone,False
HCP0244,Dr. Kavya Kapur,Pulmonologist,Tier 2,T004,Nagpur,Maharashtra,Nagar Inc Hospital,21,883,Webinar,True
HCP0245,Dr. Madhav Devan,Gastroenterologist,Tier 3,T005,Delhi,Delhi,Mangat Group Hospital,30,552,Phone,False
HCP0246,Dr. Upasna Sen,Dermatologist,Tier 2,T006,Gurgaon,Haryana,"Ahluwalia, Buch and Bahl Hospital",12,284,Email,False
HCP0247,Dr. Tanveer Doctor,Cardiologist,Tier 3,T007,Bengaluru,Karnataka,"Wable, Sampath and Choudhry Hospital",25,647,In-person,True
HCP0248,Dr. Wazir Mitra,General Physician,Tier 1,T008,Hyderabad,Telangana,Batta and Sons Hospital,12,359,Webinar,True
HCP0249,Dr. Tanvi Bhatnagar,Neurologist,Tier 1,T009,Chennai,Tamil Nadu,Tata PLC Hospital,16,541,Phone,True
HCP0250,Dr. Yutika Khurana,Neurologist,Tier 1,T010,Kolkata,West Bengal,"Dhawan, Manne and Sanghvi Hospital",34,462,Email,False
HCP0251,Dr. Ira Khosla,Diabetologist,Tier 2,T011,Ahmedabad,Gujarat,"Saha, Grover and Chada Hospital",3,406,In-person,False
HCP0252,Dr. Ekansh Vora,Endocrinologist,Tier 1,T012,Jaipur,Rajasthan,"Tripathi, Tripathi and Bahri Hospital",20,563,Email,False
HCP0253,Dr. Upma Bassi,Oncologist,Tier 3,T001,Pune,Maharashtra,"Ram, Prakash and Kulkarni Hospital",7,99,Phone,True
HCP0254,Dr. Ishanvi Bir,Endocrinologist,Tier 2,T002,Mumbai,Maharashtra,Khosla-Chawla Hospital,35,513,In-person,False
HCP0255,Dr. Kiaan Basu,Pulmonologist,Tier 2,T003,Nashik,Maharashtra,Nigam-Gill Hospital,5,324,Webinar,False
HCP0256,Dr. Varenya Gopal,Diabetologist,Tier 1,T004,Nagpur,Maharashtra,Bhatnagar Ltd Hospital,33,691,In-person,True
HCP0257,Dr. Balhaar Memon,Endocrinologist,Tier 2,T005,Delhi,Delhi,Bassi and Sons Hospital,2,709,Phone,True
HCP0258,Dr. Diya Mukherjee,Orthopedic Surgeon,Tier 2,T006,Gurgaon,Haryana,"Rao, Solanki and Kulkarni Hospital",7,616,Phone,True
HCP0259,Dr. Rayaan Mangal,Dermatologist,Tier 2,T007,Bengaluru,Karnataka,Batta-Narula Hospital,34,647,In-person,False
HCP0260,Dr. Jeet Pillai,Oncologist,Tier 1,T008,Hyderabad,Telangana,Ratta-Sarraf Hospital,26,462,Phone,True
HCP0261,Dr. Harinakshi Grover,Gastroenterologist,Tier 3,T009,Chennai,Tamil Nadu,Tank-Pillai Hospital,24,326,In-person,False
HCP0262,Dr. Fitan Samra,Endocrinologist,Tier 1,T010,Kolkata,West Bengal,Sani PLC Hospital,23,738,Email,False
HCP0263,Dr. Chaaya Nagi,Oncologist,Tier 3,T011,Ahmedabad,Gujarat,Buch LLC Hospital,10,144,Webinar,True
HCP0264,Dr. Damini Sehgal,General Physician,Tier 2,T012,Jaipur,Rajasthan,"Sandhu, Ganesan and Sawhney Hospital",14,122,Phone,False
HCP0265,Dr. Sanya Basak,Dermatologist,Tier 2,T001,Pune,Maharashtra,"Pandit, Saran and Maharaj Hospital",32,339,In-person,True
HCP0266,Dr. Falan Ravi,General Physician,Tier 2,T002,Mumbai,Maharashtra,Varghese-Dutta Hospital,5,751,Phone,False
HCP0267,Dr. Luke Sarma,Diabetologist,Tier 3,T003,Nashik,Maharashtra,Date Inc Hospital,29,489,Webinar,False
HCP0268,Dr. Jeevika Pathak,Gastroenterologist,Tier 3,T004,Nagpur,Maharashtra,Bali-Dube Hospital,33,788,Webinar,False
HCP0269,Dr. Kamala Prabhu,Dermatologist,Tier 2,T005,Delhi,Delhi,Bose-Devan Hospital,7,824,Webinar,True
HCP0270,Dr. Mitali Murthy,Neurologist,Tier 3,T006,Gurgaon,Haryana,"Mallick, Krish and Comar Hospital",13,638,Phone,False
HCP0271,Dr. Quincy Tata,Diabetologist,Tier 1,T007,Bengaluru,Karnataka,"Ram, Dalal and Lala Hospital",20,393,Webinar,False
HCP0272,Dr. Sanaya Kala,Endocrinologist,Tier 3,T008,Hyderabad,Telangana,"Mangal, Swaminathan and Iyengar Hospital",24,537,In-person,False
HCP0273,Dr. Krishna Borah,Orthopedic Surgeon,Tier 3,T009,Chennai,Tamil Nadu,Gera-Saxena Hospital,19,734,In-person,True
HCP0274,Dr. Ekaja Palan,Neurologist,Tier 2,T010,Kolkata,West Bengal,"Bhattacharyya, Mannan and Mital Hospital",12,111,Email,False
HCP0275,Dr. Owen Pathak,Cardiologist,Tier 1,T011,Ahmedabad,Gujarat,"Kapur, Dara and Iyer Hospital",17,877,Phone,False
HCP0276,Dr. Warjas Tak,Neurologist,Tier 3,T012,Jaipur,Rajasthan,Patel PLC Hospital,4,699,Email,False
HCP0277,Dr. Unni Dayal,Gastroenterologist,Tier 2,T001,Pune,Maharashtra,"Chadha, Bhatti and More Hospital",6,667,Email,False
HCP0278,Dr. Varenya Vora,Neurologist,Tier 2,T002,Mumbai,Maharashtra,Rout-Borah Hospital,19,335,In-person,True
HCP0279,Dr. Edhitha Borah,Endocrinologist,Tier 2,T003,Nashik,Maharashtra,Shukla-Varughese Hospital,26,655,In-person,False
HCP0280,Dr. Kabir Gopal,General Physician,Tier 3,T004,Nagpur,Maharashtra,Sant PLC Hospital,15,706,Phone,False
HCP0281,Dr. Jeet Vasa,Pulmonologist,Tier 1,T005,Delhi,Delhi,Modi and Sons Hospital,6,542,Email,False
HCP0282,Dr. Ekantika Kar,Diabetologist,Tier 3,T006,Gurgaon,Haryana,Venkataraman-Mander Hospital,22,763,Phone,True
HCP0283,Dr. Zashil Hegde,Dermatologist,Tier 2,T007,Bengaluru,Karnataka,"Maharaj, Dass and Mitter Hospital",21,241,Email,False
HCP0284,Dr. Yadavi Ganguly,Dermatologist,Tier 2,T008,Hyderabad,Telangana,"Dube, Garg and Nazareth Hospital",14,891,Email,True
HCP0285,Dr. Ayush Bumb,Oncologist,Tier 1,T009,Chennai,Tamil Nadu,Lanka Ltd Hospital,25,558,Email,True
HCP0286,Dr. Omaja Balasubramanian,Diabetologist,Tier 2,T010,Kolkata,West Bengal,Mann-Mittal Hospital,32,618,Webinar,False
HCP0287,Dr. Yash Ravi,Orthopedic Surgeon,Tier 1,T011,Ahmedabad,Gujarat,Setty-Bora Hospital,22,737,In-person,False
HCP0288,Dr. Nakul Sarraf,Oncologist,Tier 3,T012,Jaipur,Rajasthan,Sule-Shetty Hospital,24,211,Email,True
HCP0289,Dr. Harini Dhawan,Neurologist,Tier 2,T001,Pune,Maharashtra,Nagar-Pai Hospital,5,207,Email,False
HCP0290,Dr. Kalpit Prabhakar,Endocrinologist,Tier 1,T002,Mumbai,Maharashtra,"Cherian, Nagar and Khurana Hospital",16,434,Phone,True
HCP0291,Dr. Jason Loke,General Physician,Tier 1,T003,Nashik,Maharashtra,Kota-Dhaliwal Hospital,19,208,Phone,True
HCP0292,Dr. Chandresh Mannan,Dermatologist,Tier 3,T004,Nagpur,Maharashtra,Sahota-Kothari Hospital,11,255,Phone,True
HCP0293,Dr. Falak Munshi,Cardiologist,Tier 1,T005,Delhi,Delhi,Dutta Group Hospital,18,746,Email,False
HCP0294,Dr. Wishi Morar,Orthopedic Surgeon,Tier 3,T006,Gurgaon,Haryana,Bajaj-Chana Hospital,33,722,Phone,False
HCP0295,Dr. Yashasvi Shankar,Oncologist,Tier 2,T007,Bengaluru,Karnataka,Kale PLC Hospital,27,384,Webinar,True
HCP0296,Dr. Chanakya Bedi,Cardiologist,Tier 1,T008,Hyderabad,Telangana,Talwar-Singhal Hospital,28,575,Webinar,True
HCP0297,Dr. Abhiram Chokshi,Gastroenterologist,Tier 3,T009,Chennai,Tamil Nadu,Desai-Lalla Hospital,22,815,Phone,False
HCP0298,Dr. Neha Pau,Neurologist,Tier 1,T010,Kolkata,West Bengal,Rattan Inc Hospital,25,607,In-person,False
HCP0299,Dr. Janani Mani,Pulmonologist,Tier 2,T011,Ahmedabad,Gujarat,Raju PLC Hospital,19,540,Email,True
HCP0300,Dr. Ati Dani,Diabetologist,Tier 1,T012,Jaipur,Rajasthan,Chatterjee Group Hospital,26,710,Webinar,True
HCP0301,Dr. Harinakshi Pau,Endocrinologist,Tier 3,T001,Pune,Maharashtra,Issac PLC Hospital,22,274,Email,False
HCP0302,Dr. Xiti Baria,Dermatologist,Tier 2,T002,Mumbai,Maharashtra,Barad and Sons Hospital,21,589,In-person,True
HCP0303,Dr. Urvi Venkataraman,Neurologist,Tier 2,T003,Nashik,Maharashtra,Dixit-Varma Hospital,17,300,Phone,True
HCP0304,Dr. Falak Nagar,Cardiologist,Tier 2,T004,Nagpur,Maharashtra,Ramaswamy PLC Hospital,32,372,In-person,True
HCP0305,Dr. Gayathri Tripathi,Neurologist,Tier 1,T005,Delhi,Delhi,"Walia, Suri and Mistry Hospital",18,824,Phone,False
HCP0306,Dr. Anay Pillay,Gastroenterologist,Tier 1,T006,Gurgaon,Haryana,Choudhary-Saha Hospital,5,663,Email,False
HCP0307,Dr. Avi Som,Dermatologist,Tier 2,T007,Bengaluru,Karnataka,Kari-Behl Hospital,26,596,Webinar,False
HCP0308,Dr. Onkar Viswanathan,Orthopedic Surgeon,Tier 3,T008,Hyderabad,Telangana,"Rai, Divan and Kibe Hospital",9,211,In-person,False
HCP0309,Dr. Imaran Halder,Gastroenterologist,Tier 3,T009,Chennai,Tamil Nadu,Sastry LLC Hospital,23,651,Phone,True
HCP0310,Dr. Max Sachar,Pulmonologist,Tier 3,T010,Kolkata,West Bengal,"Jani, Roy and Thaker Hospital",27,592,In-person,True
HCP0311,Dr. David Devi,Cardiologist,Tier 1,T011,Ahmedabad,Gujarat,"Johal, Nair and Sridhar Hospital",23,565,Webinar,True
HCP0312,Dr. Dipta Ghose,Orthopedic Surgeon,Tier 3,T012,Jaipur,Rajasthan,Walia-Oommen Hospital,10,415,Phone,True
HCP0313,Dr. Aishani Sule,Neurologist,Tier 3,T001,Pune,Maharashtra,Koshy LLC Hospital,21,687,Phone,False
HCP0314,Dr. Umang Mishra,Orthopedic Surgeon,Tier 2,T002,Mumbai,Maharashtra,Johal-Suresh Hospital,3,457,Phone,True
HCP0315,Dr. Varsha Palla,Neurologist,Tier 3,T003,Nashik,Maharashtra,"Mahal, Mani and Dara Hospital",3,691,Webinar,False
HCP0316,Dr. Megha Pai,Orthopedic Surgeon,Tier 3,T004,Nagpur,Maharashtra,Mannan Inc Hospital,5,677,Webinar,True
HCP0317,Dr. Farhan Pal,Dermatologist,Tier 3,T005,Delhi,Delhi,Kunda-Srinivas Hospital,26,231,Email,True
HCP0318,Dr. Saksham Yohannan,Orthopedic Surgeon,Tier 3,T006,Gurgaon,Haryana,Magar-Devan Hospital,9,275,In-person,False
HCP0319,Dr. Wriddhish Kibe,Gastroenterologist,Tier 2,T007,Bengaluru,Karnataka,Wali and Sons Hospital,28,787,Email,False
HCP0320,Dr. Charles Chaudhry,Dermatologist,Tier 3,T008,Hyderabad,Telangana,Narayanan-Sodhi Hospital,32,833,In-person,True
HCP0321,Dr. Laksh Ahluwalia,Dermatologist,Tier 2,T009,Chennai,Tamil Nadu,"Dugar, Ray and Soni Hospital",22,758,Webinar,False
HCP0322,Dr. Ryan Mani,Gastroenterologist,Tier 3,T010,Kolkata,West Bengal,Mangal-Bhargava Hospital,31,625,Phone,False
HCP0323,Dr. Vincent Warrior,General Physician,Tier 3,T011,Ahmedabad,Gujarat,"Barad, Gill and Sahni Hospital",14,332,Phone,False
HCP0324,Dr. Balhaar Ranganathan,Pulmonologist,Tier 3,T012,Jaipur,Rajasthan,Grewal-Mann Hospital,21,869,Phone,True
HCP0325,Dr. Aditya Misra,Oncologist,Tier 2,T001,Pune,Maharashtra,"Chhabra, Nayak and Mane Hospital",24,653,Phone,False
HCP0326,Dr. Wakeeta Desai,Diabetologist,Tier 3,T002,Mumbai,Maharashtra,"Sidhu, Mahajan and Hans Hospital",26,484,Phone,True
HCP0327,Dr. Ganga Gaba,General Physician,Tier 1,T003,Nashik,Maharashtra,"Shanker, Kurian and Grewal Hospital",7,434,Webinar,False
HCP0328,Dr. Geetika Merchant,Oncologist,Tier 2,T004,Nagpur,Maharashtra,"Hans, Gill and Ravi Hospital",19,655,Phone,True
HCP0329,Dr. Yutika Narang,Diabetologist,Tier 3,T005,Delhi,Delhi,Rattan Ltd Hospital,17,328,In-person,True
HCP0330,Dr. Qasim Dey,Pulmonologist,Tier 1,T006,Gurgaon,Haryana,Naik-Kothari Hospital,28,418,Webinar,True
HCP0331,Dr. Advika Rajagopal,Endocrinologist,Tier 1,T007,Bengaluru,Karnataka,Sekhon LLC Hospital,12,496,Webinar,False
HCP0332,Dr. Chasmum Apte,Pulmonologist,Tier 3,T008,Hyderabad,Telangana,Parsa-Keer Hospital,20,408,Phone,True
HCP0333,Dr. Jagat Shroff,Diabetologist,Tier 3,T009,Chennai,Tamil Nadu,Dutta-Ravi Hospital,16,627,In-person,True
HCP0334,Dr. Jacob Merchant,Neurologist,Tier 3,T010,Kolkata,West Bengal,Kant-Kanda Hospital,13,117,Webinar,False
HCP0335,Dr. Vanya Dua,Endocrinologist,Tier 3,T011,Ahmedabad,Gujarat,Prakash-Sagar Hospital,20,118,In-person,False
HCP0336,Dr. Tejas Kota,Orthopedic Surgeon,Tier 3,T012,Jaipur,Rajasthan,"Bumb, Vora and Sekhon Hospital",23,371,Webinar,False
HCP0337,Dr. Faras Choudhury,Endocrinologist,Tier 3,T001,Pune,Maharashtra,Tiwari and Sons Hospital,31,359,Email,True
HCP0338,Dr. Nitesh Narang,Gastroenterologist,Tier 1,T002,Mumbai,Maharashtra,"Sathe, Dada and Jha Hospital",31,743,Phone,True
HCP0339,Dr. Gavin Uppal,Cardiologist,Tier 3,T003,Nashik,Maharashtra,Bhakta-Setty Hospital,20,661,Email,True
HCP0340,Dr. Yochana Sagar,Orthopedic Surgeon,Tier 3,T004,Nagpur,Maharashtra,Bhardwaj-Shere Hospital,27,517,Phone,True
HCP0341,Dr. Anthony Randhawa,Neurologist,Tier 3,T005,Delhi,Delhi,Aggarwal-Kamdar Hospital,13,223,Webinar,False
HCP0342,Dr. Chakradev Sampath,Pulmonologist,Tier 1,T006,Gurgaon,Haryana,Bhatt-Bhasin Hospital,26,321,Webinar,False
HCP0343,Dr. Urmi Balay,Gastroenterologist,Tier 2,T007,Bengaluru,Karnataka,Rege-Gole Hospital,2,347,Phone,True
HCP0344,Dr. Osha Prasad,Cardiologist,Tier 3,T008,Hyderabad,Telangana,Sen-Purohit Hospital,31,394,Email,False
HCP0345,Dr. Faris Zacharia,Dermatologist,Tier 3,T009,Chennai,Tamil Nadu,Pall Inc Hospital,21,786,In-person,False
HCP0346,Dr. Maya Wadhwa,Gastroenterologist,Tier 3,T010,Kolkata,West Bengal,Kapoor Inc Hospital,16,216,Webinar,True
HCP0347,Dr. Chanchal Sheth,Oncologist,Tier 3,T011,Ahmedabad,Gujarat,"Samra, Wali and Raghavan Hospital",25,505,Webinar,True
HCP0348,Dr. Yug Sharma,Pulmonologist,Tier 3,T012,Jaipur,Rajasthan,Dubey-Majumdar Hospital,7,618,Webinar,False
HCP0349,Dr. Isaiah Balay,Diabetologist,Tier 3,T001,Pune,Maharashtra,"Saini, Babu and Khosla Hospital",9,143,Email,True
HCP0350,Dr. Ekalinga Chaudhuri,Endocrinologist,Tier 2,T002,Mumbai,Maharashtra,"Bandi, Sekhon and Bava Hospital",35,532,In-person,True
HCP0351,Dr. Chaitanya Ratti,Orthopedic Surgeon,Tier 2,T003,Nashik,Maharashtra,Kaur-Zacharia Hospital,34,536,In-person,False
HCP0352,Dr. Daksh Dey,Endocrinologist,Tier 2,T004,Nagpur,Maharashtra,"Mann, Kaur and Nagar Hospital",31,657,In-person,False
HCP0353,Dr. Warjas Mittal,General Physician,Tier 3,T005,Delhi,Delhi,Verma and Sons Hospital,27,340,In-person,True
HCP0354,Dr. Charita Maharaj,Orthopedic Surgeon,Tier 1,T006,Gurgaon,Haryana,Gill Ltd Hospital,29,432,In-person,True
HCP0355,Dr. Warhi Batta,Diabetologist,Tier 3,T007,Bengaluru,Karnataka,Raj-Vohra Hospital,32,112,Phone,False
HCP0356,Dr. Omaja Rege,Endocrinologist,Tier 3,T008,Hyderabad,Telangana,Mital Group Hospital,28,463,Webinar,False
HCP0357,Dr. Urvashi Khosla,Neurologist,Tier 2,T009,Chennai,Tamil Nadu,Mital Ltd Hospital,10,749,Phone,True
HCP0358,Dr. Ubika Bhardwaj,Endocrinologist,Tier 3,T010,Kolkata,West Bengal,"Sachar, Saha and Wagle Hospital",27,621,Email,True
HCP0359,Dr. Lipika Kibe,Cardiologist,Tier 3,T011,Ahmedabad,Gujarat,Jani-Narayanan Hospital,21,554,Webinar,False
HCP0360,Dr. Shivani Prabhakar,Pulmonologist,Tier 2,T012,Jaipur,Rajasthan,Wason Ltd Hospital,24,238,Phone,True
HCP0361,Dr. Charan Loyal,Diabetologist,Tier 1,T001,Pune,Maharashtra,Baral-Bora Hospital,28,709,In-person,True
HCP0362,Dr. Teerth Srinivas,Pulmonologist,Tier 1,T002,Mumbai,Maharashtra,Natarajan LLC Hospital,4,537,In-person,True
HCP0363,Dr. Siddharth Gupta,Cardiologist,Tier 2,T003,Nashik,Maharashtra,"Dalal, Srinivas and Kibe Hospital",16,632,Email,True
HCP0364,Dr. Mekhala Khatri,Endocrinologist,Tier 2,T004,Nagpur,Maharashtra,"Nagy, Mandal and Rai Hospital",20,319,Phone,False
HCP0365,Dr. Jagrati Morar,Pulmonologist,Tier 2,T005,Delhi,Delhi,Parsa-Varghese Hospital,11,756,Email,False
HCP0366,Dr. Unnati Chaudhari,General Physician,Tier 2,T006,Gurgaon,Haryana,"Singh, Nagarajan and Jani Hospital",13,721,Webinar,False
HCP0367,Dr. Dhriti Sachdev,Cardiologist,Tier 3,T007,Bengaluru,Karnataka,Kant Ltd Hospital,26,884,Phone,False
HCP0368,Dr. Amol Lal,Neurologist,Tier 1,T008,Hyderabad,Telangana,"Sahni, Merchant and Dua Hospital",26,268,Webinar,True
HCP0369,Dr. Forum Karpe,Pulmonologist,Tier 2,T009,Chennai,Tamil Nadu,Korpal-Tata Hospital,11,554,In-person,False
HCP0370,Dr. Aarini Suresh,Neurologist,Tier 3,T010,Kolkata,West Bengal,"Swaminathan, Sharma and Ganguly Hospital",10,477,Email,False
HCP0371,Dr. Omkaar Dey,Pulmonologist,Tier 2,T011,Ahmedabad,Gujarat,"Suresh, Gour and Bhargava Hospital",7,540,Phone,True
HCP0372,Dr. Falan Bava,Dermatologist,Tier 3,T012,Jaipur,Rajasthan,Sachar and Sons Hospital,14,132,Phone,False
HCP0373,Dr. Ekansh Dora,Orthopedic Surgeon,Tier 3,T001,Pune,Maharashtra,Kamdar PLC Hospital,6,272,Email,False
HCP0374,Dr. Kashvi Bhasin,Pulmonologist,Tier 3,T002,Mumbai,Maharashtra,"Subramanian, Sura and Babu Hospital",23,390,In-person,True
HCP0375,Dr. Nisha Arora,Pulmonologist,Tier 3,T003,Nashik,Maharashtra,Wagle Ltd Hospital,9,844,Webinar,True
HCP0376,Dr. Bhavini Badal,Orthopedic Surgeon,Tier 3,T004,Nagpur,Maharashtra,"Sani, Gola and Chhabra Hospital",27,325,Phone,False
HCP0377,Dr. Manthan Khosla,Neurologist,Tier 2,T005,Delhi,Delhi,Vyas LLC Hospital,24,395,Phone,False
HCP0378,Dr. Amara Ranganathan,Dermatologist,Tier 3,T006,Gurgaon,Haryana,Prakash Group Hospital,31,180,Webinar,False
HCP0379,Dr. Yagnesh Kara,Pulmonologist,Tier 2,T007,Bengaluru,Karnataka,Buch-Balay Hospital,28,126,Email,True
HCP0380,Dr. Nidra Raghavan,Cardiologist,Tier 2,T008,Hyderabad,Telangana,Soni-Bhalla Hospital,28,382,Email,True
