recommendation_rank,hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,revenue_percentile_rank,recency_score,engagement_percentile_rank,prioritization_score,recommended_action
148,HCP0350,Dr. Ekalinga Chaudhuri,T002,Mumbai Metro,Tier 2,2523383.52,53,53.34,11,High Value,Medium Risk,27.1,0.39,0.563,0.719,59.9,Maintain engagement
149,HCP0484,Dr. Daksha Kibe,T004,Nagpur Vidarbha,Tier 3,1502058.63,53,53.0,30,High Value,Low Risk,38.6,0.126,0.882,0.701,59.9,Schedule follow-up call
150,HCP0444,Dr. Falak Agate,T012,Jaipur Rajasthan,Tier 1,3665619.1,32,61.38,7,Low Engagement,Low Risk,24.3,0.642,0.421,0.988,59.8,Monitor low engagement
151,HCP0241,Dr. Naveen Mahajan,T001,Pune Central,Tier 1,4606326.13,44,54.66,0,High Value,Low Risk,18.8,0.78,0.038,0.812,59.7,Maintain engagement
152,HCP0118,Dr. Frederick Kothari,T010,Kolkata East,Tier 2,3871944.8,41,56.85,7,Low Engagement,Low Risk,22.2,0.684,0.421,0.908,59.7,Monitor low engagement
153,HCP0433,Dr. Om Shankar,T001,Pune Central,Tier 3,3442085.68,58,50.45,8,High Value,Low Risk,25.8,0.588,0.459,0.514,59.6,Maintain engagement
154,HCP0204,Dr. Oeshi Mahajan,T012,Jaipur Rajasthan,Tier 3,1391889.49,34,60.56,30,Growth Potential,Low Risk,40.8,0.102,0.882,0.976,59.6,Review growth opportunity
155,HCP0028,Dr. Jai Kota,T004,Nagpur Vidarbha,Tier 1,7061018.63,44,46.7,4,High Value,Low Risk,27.1,0.922,0.264,0.216,59.5,Maintain engagement
156,HCP0219,Dr. Matthew Sarraf,T003,Nashik North,Tier 1,3528534.82,43,49.47,23,Low Engagement,Medium Risk,36.3,0.608,0.826,0.426,59.5,Monitor low engagement
157,HCP0258,Dr. Diya Mukherjee,T006,Gurgaon Corporate,Tier 2,1234574.43,26,56.62,51,Growth Potential,Low Risk,57.2,0.06,0.966,0.906,59.2,Review growth opportunity
158,HCP0387,Dr. Vincent Borra,T003,Nashik North,Tier 1,4220927.48,39,50.15,13,Low Engagement,Medium Risk,32.7,0.732,0.622,0.492,59.1,Monitor low engagement
159,HCP0412,Dr. Sanaya Prasad,T004,Nagpur Vidarbha,Tier 2,3715906.49,52,48.79,8,High Value,Medium Risk,27.4,0.658,0.459,0.366,59.1,Maintain engagement
160,HCP0143,Dr. Aarnav Mandal,T011,Ahmedabad Gujarat,Tier 3,4037107.9,39,52.54,10,Low Engagement,Medium Risk,29.4,0.7,0.529,0.682,59.0,Monitor low engagement
161,HCP0134,Dr. Ekiya D’Alia,T002,Mumbai Metro,Tier 3,3654360.32,42,54.21,10,Low Engagement,Medium Risk,26.4,0.64,0.529,0.784,58.9,Monitor low engagement
162,HCP0244,Dr. Kavya Kapur,T004,Nagpur Vidarbha,Tier 2,4313382.76,51,45.14,9,High Value,Medium Risk,30.7,0.754,0.495,0.13,58.8,Monitor low engagement
163,HCP0226,Dr. Reva Viswanathan,T010,Kolkata East,Tier 2,2792664.57,30,52.23,24,Low Engagement,Low Risk,44.9,0.446,0.838,0.656,58.8,Monitor low engagement
164,HCP0273,Dr. Krishna Borah,T009,Chennai Metro,Tier 3,2380896.62,33,57.73,19,Low Engagement,Medium Risk,36.7,0.358,0.756,0.932,58.8,Monitor low engagement
165,HCP0186,Dr. Hritik Swaminathan,T006,Gurgaon Corporate,Tier 1,1962838.69,30,51.87,39,Growth Potential,Low Risk,54.1,0.234,0.93,0.635,58.8,Review growth opportunity
166,HCP0322,Dr. Ryan Mani,T010,Kolkata East,Tier 3,2530163.62,40,54.88,20,Low Engagement,Low Risk,34.3,0.392,0.782,0.827,58.7,Monitor low engagement
167,HCP0464,Dr. Lila Salvi,T008,Hyderabad Central,Tier 1,4187087.5,48,53.98,1,High Value,Low Risk,19.2,0.724,0.096,0.768,58.6,Maintain engagement
168,HCP0225,Dr. Yamini Gera,T009,Chennai Metro,Tier 2,4237543.81,35,61.23,4,Low Engagement,Low Risk,20.0,0.738,0.264,0.986,58.4,Monitor low engagement
169,HCP0268,Dr. Jeevika Pathak,T004,Nagpur Vidarbha,Tier 3,4227183.92,50,53.46,1,High Value,Low Risk,19.0,0.734,0.096,0.726,58.1,Maintain engagement
170,HCP0081,Dr. William Maharaj,T009,Chennai Metro,Tier 2,3421808.63,30,39.9,36,Growth Potential,High Risk,61.3,0.578,0.922,0.008,58.1,Schedule follow-up call
171,HCP0388,Dr. Anjali Seshadri,T004,Nagpur Vidarbha,Tier 3,4281573.19,59,51.44,2,High Value,Low Risk,19.9,0.752,0.155,0.599,58.0,Maintain engagement
172,HCP0499,Dr. Zaid Chandra,T007,Bengaluru Urban,Tier 1,2947286.4,29,53.31,18,Low Engagement,Medium Risk,41.5,0.48,0.73,0.716,58.0,Monitor low engagement
173,HCP0299,Dr. Janani Mani,T011,Ahmedabad Gujarat,Tier 2,2903748.54,36,51.36,23,Low Engagement,Low Risk,41.6,0.468,0.826,0.59,57.9,Monitor low engagement
174,HCP0372,Dr. Falan Bava,T012,Jaipur Rajasthan,Tier 3,4184470.1,29,46.31,20,Low Engagement,High Risk,46.5,0.722,0.782,0.202,57.7,Schedule follow-up call
175,HCP0369,Dr. Forum Karpe,T009,Chennai Metro,Tier 2,4080523.6,37,64.92,4,Low Engagement,Low Risk,14.7,0.71,0.264,1.0,57.7,Monitor low engagement
176,HCP0031,Dr. Arya Sunder,T007,Bengaluru Urban,Tier 3,3486525.36,36,50.69,17,Low Engagement,Medium Risk,38.1,0.6,0.704,0.533,57.7,Monitor low engagement
177,HCP0421,Dr. Tanish Jha,T001,Pune Central,Tier 1,10166737.96,46,45.52,2,High Value,Low Risk,25.8,0.996,0.155,0.156,57.6,Maintain engagement
178,HCP0097,Dr. Keya Ranganathan,T001,Pune Central,Tier 3,2468818.4,43,54.3,20,Low Engagement,Low Risk,33.1,0.384,0.782,0.79,57.6,Monitor low engagement
179,HCP0230,Dr. Kai Chad,T002,Mumbai Metro,Tier 3,2746298.06,53,45.98,20,High Value,High Risk,38.0,0.44,0.782,0.18,57.5,Schedule follow-up call
180,HCP0290,Dr. Kalpit Prabhakar,T002,Mumbai Metro,Tier 1,3776853.57,50,48.4,7,High Value,Medium Risk,28.0,0.662,0.421,0.332,57.4,Maintain engagement
181,HCP0370,Dr. Aarini Suresh,T010,Kolkata East,Tier 3,891919.61,42,58.38,41,Growth Potential,Low Risk,42.7,0.008,0.936,0.95,57.4,Review growth opportunity
182,HCP0246,Dr. Upasna Sen,T006,Gurgaon Corporate,Tier 2,5582784.39,31,44.48,15,Low Engagement,Medium Risk,43.5,0.862,0.668,0.105,57.3,Monitor low engagement
183,HCP0348,Dr. Yug Sharma,T012,Jaipur Rajasthan,Tier 3,2990638.19,40,55.3,12,Low Engagement,Medium Risk,29.4,0.49,0.589,0.872,57.2,Monitor low engagement
184,HCP0452,Dr. Tanay Sood,T008,Hyderabad Central,Tier 2,5131006.32,34,52.24,5,Low Engagement,Low Risk,30.0,0.826,0.326,0.659,56.8,Monitor low engagement
185,HCP0233,Dr. Laksh Dubey,T005,Delhi NCR,Tier 3,2634524.27,30,47.77,30,Growth Potential,Medium Risk,52.6,0.418,0.882,0.284,56.8,Maintain engagement
186,HCP0311,Dr. David Devi,T011,Ahmedabad Gujarat,Tier 1,3342729.34,34,48.47,24,Low Engagement,Medium Risk,45.2,0.568,0.838,0.339,56.7,Monitor low engagement
187,HCP0195,Dr. Devika Pandey,T003,Nashik North,Tier 2,2416564.84,49,48.47,18,High Value,Medium Risk,36.8,0.368,0.73,0.339,56.6,Maintain engagement
188,HCP0074,Dr. Umang Issac,T002,Mumbai Metro,Tier 3,4762325.88,45,47.98,4,High Value,Medium Risk,27.4,0.786,0.264,0.3,56.4,Maintain engagement
189,HCP0242,Dr. Gavin Kapadia,T002,Mumbai Metro,Tier 3,3556553.75,42,57.4,6,Low Engagement,Low Risk,21.6,0.614,0.384,0.922,56.4,Monitor low engagement
190,HCP0446,Dr. Ekantika Mander,T002,Mumbai Metro,Tier 2,4564839.39,39,43.46,19,Low Engagement,Medium Risk,41.9,0.776,0.756,0.068,56.2,Monitor low engagement
191,HCP0271,Dr. Quincy Tata,T007,Bengaluru Urban,Tier 1,5112821.98,37,51.86,5,Low Engagement,Low Risk,28.1,0.822,0.326,0.632,56.1,Monitor low engagement
192,HCP0221,Dr. Triya Seth,T005,Delhi NCR,Tier 1,10663766.76,43,43.05,2,High Value,Low Risk,29.9,0.998,0.155,0.06,55.8,Maintain engagement
193,HCP0183,Dr. Ishaan Bhatt,T003,Nashik North,Tier 3,4352313.99,46,49.11,3,High Value,Medium Risk,25.7,0.76,0.216,0.388,55.8,Maintain engagement
194,HCP0023,Dr. Ekiya Suresh,T011,Ahmedabad Gujarat,Tier 3,3143998.0,35,52.66,13,Low Engagement,Medium Risk,36.2,0.528,0.622,0.686,55.8,Monitor low engagement
195,HCP0063,Dr. Yashodhara Ratta,T003,Nashik North,Tier 3,2404762.43,64,57.28,5,High Value,Low Risk,20.1,0.362,0.326,0.918,55.8,Maintain engagement
196,HCP0142,Dr. Ekaraj Majumdar,T010,Kolkata East,Tier 3,4198286.97,31,55.19,4,Low Engagement,Low Risk,29.3,0.73,0.264,0.862,55.7,Monitor low engagement
197,HCP0301,Dr. Harinakshi Pau,T001,Pune Central,Tier 3,2608776.76,48,57.25,4,High Value,Low Risk,21.3,0.412,0.264,0.916,55.7,Maintain engagement
198,HCP0179,Dr. Viraj Narasimhan,T011,Ahmedabad Gujarat,Tier 2,3863957.95,29,52.24,8,Low Engagement,Low Risk,36.0,0.678,0.459,0.659,55.6,Monitor low engagement
199,HCP0151,Dr. Bhavna Karan,T007,Bengaluru Urban,Tier 1,3781841.73,36,44.69,24,Low Engagement,High Risk,46.6,0.664,0.838,0.112,55.6,Schedule follow-up call
200,HCP0052,Dr. Yashasvi Suresh,T004,Nagpur Vidarbha,Tier 1,5612496.94,48,49.73,0,High Value,Medium Risk,21.4,0.872,0.038,0.443,55.5,Maintain engagement
201,HCP0006,Dr. George Rai,T006,Gurgaon Corporate,Tier 1,3292647.67,34,48.91,20,Low Engagement,Medium Risk,43.3,0.56,0.782,0.374,55.5,Monitor low engagement
202,HCP0207,Dr. Charvi Kakar,T003,Nashik North,Tier 3,2102959.49,41,48.68,46,Growth Potential,Medium Risk,52.4,0.262,0.954,0.358,55.0,Maintain engagement
203,HCP0088,Dr. Lopa Nayar,T004,Nagpur Vidarbha,Tier 3,3819352.37,49,49.51,4,High Value,Medium Risk,25.8,0.67,0.264,0.428,54.9,Maintain engagement
204,HCP0293,Dr. Falak Munshi,T005,Delhi NCR,Tier 1,3805005.34,34,52.03,8,Low Engagement,Low Risk,33.7,0.666,0.459,0.644,54.9,Monitor low engagement
205,HCP0346,Dr. Maya Wadhwa,T010,Kolkata East,Tier 3,3008522.83,34,48.94,24,Low Engagement,Medium Risk,45.8,0.494,0.838,0.377,54.9,Monitor low engagement
206,HCP0336,Dr. Tejas Kota,T012,Jaipur Rajasthan,Tier 3,1984197.48,24,48.12,107,Growth Potential,Medium Risk,85.2,0.24,1.0,0.323,54.9,Maintain engagement
207,HCP0443,Dr. Neha Varma,T011,Ahmedabad Gujarat,Tier 3,3181870.53,30,47.8,25,Low Engagement,Medium Risk,48.9,0.534,0.848,0.288,54.8,Monitor low engagement
208,HCP0275,Dr. Owen Pathak,T011,Ahmedabad Gujarat,Tier 1,4253126.75,39,51.54,6,Low Engagement,Low Risk,28.4,0.744,0.384,0.61,54.7,Monitor low engagement
209,HCP0379,Dr. Yagnesh Kara,T007,Bengaluru Urban,Tier 2,4269574.79,39,49.64,9,Low Engagement,Medium Risk,31.6,0.746,0.495,0.434,54.6,Monitor low engagement
210,HCP0027,Dr. Devika Rastogi,T003,Nashik North,Tier 1,4192074.88,40,45.52,17,Low Engagement,Medium Risk,38.7,0.726,0.704,0.156,54.6,Monitor low engagement
211,HCP0310,Dr. Max Sachar,T010,Kolkata East,Tier 3,4091232.45,43,47.14,5,High Value,Low Risk,30.7,0.712,0.326,0.238,54.5,Maintain engagement
212,HCP0260,Dr. Jeet Pillai,T008,Hyderabad Central,Tier 1,7078551.05,31,47.71,6,Low Engagement,Medium Risk,35.5,0.926,0.384,0.276,54.4,Monitor low engagement
213,HCP0353,Dr. Warjas Mittal,T005,Delhi NCR,Tier 3,1485738.34,32,50.34,70,Growth Potential,Low Risk,68.1,0.12,0.996,0.504,54.2,Review growth opportunity
214,HCP0108,Dr. Nidhi Kohli,T012,Jaipur Rajasthan,Tier 3,3598222.7,33,49.55,13,Low Engagement,Medium Risk,39.7,0.626,0.622,0.43,54.1,Monitor low engagement
215,HCP0391,Dr. Lopa Nadig,T007,Bengaluru Urban,Tier 3,2286638.79,33,53.52,19,Low Engagement,Medium Risk,41.8,0.33,0.756,0.735,53.9,Monitor low engagement
216,HCP0252,Dr. Ekansh Vora,T012,Jaipur Rajasthan,Tier 1,4470946.53,37,55.22,2,Low Engagement,Low Risk,24.0,0.77,0.155,0.864,53.8,Monitor low engagement
217,HCP0066,Dr. Ranveer Kumar,T006,Gurgaon Corporate,Tier 3,2131574.19,38,47.47,50,Growth Potential,Medium Risk,57.3,0.274,0.961,0.26,53.7,Maintain engagement
218,HCP0121,Dr. Naksh Khatri,T001,Pune Central,Tier 3,3671078.36,51,50.06,3,High Value,Medium Risk,24.6,0.644,0.216,0.478,53.6,Maintain engagement
219,HCP0216,Dr. Ikshita Panchal,T012,Jaipur Rajasthan,Tier 3,4377942.58,35,48.63,9,Low Engagement,Medium Risk,35.8,0.762,0.495,0.353,53.5,Monitor low engagement
220,HCP0476,Dr. Christopher Tata,T008,Hyderabad Central,Tier 3,3218883.17,41,49.44,17,Low Engagement,Medium Risk,36.5,0.542,0.704,0.424,53.5,Monitor low engagement
221,HCP0165,Dr. Yachana Mahajan,T009,Chennai Metro,Tier 3,1305330.42,40,53.0,31,Growth Potential,Low Risk,45.3,0.074,0.894,0.701,53.5,Review growth opportunity
222,HCP0086,Dr. Abeer Pandey,T002,Mumbai Metro,Tier 3,1617361.29,53,53.36,13,High Value,Medium Risk,31.4,0.15,0.622,0.722,53.4,Maintain engagement
223,HCP0360,Dr. Shivani Prabhakar,T012,Jaipur Rajasthan,Tier 2,5592199.07,34,52.35,2,Low Engagement,Low Risk,28.1,0.866,0.155,0.669,53.3,Monitor low engagement
224,HCP0102,Dr. Rajata Loyal,T006,Gurgaon Corporate,Tier 2,3697315.75,34,47.44,16,Low Engagement,Medium Risk,42.2,0.648,0.684,0.254,53.2,Monitor low engagement
225,HCP0449,Dr. Kevin Mittal,T005,Delhi NCR,Tier 2,3268356.08,32,47.69,20,Low Engagement,Medium Risk,46.0,0.552,0.782,0.274,53.2,Monitor low engagement
226,HCP0324,Dr. Balhaar Ranganathan,T012,Jaipur Rajasthan,Tier 3,2992294.98,29,53.86,10,Low Engagement,Medium Risk,37.7,0.492,0.529,0.76,53.2,Monitor low engagement
227,HCP0016,Dr. Janaki Kanda,T004,Nagpur Vidarbha,Tier 1,5632146.66,36,50.06,4,Low Engagement,Medium Risk,29.8,0.876,0.264,0.478,53.1,Monitor low engagement
228,HCP0319,Dr. Wriddhish Kibe,T007,Bengaluru Urban,Tier 2,4064478.36,40,42.1,19,Low Engagement,Medium Risk,43.6,0.706,0.756,0.036,53.1,Monitor low engagement
229,HCP0410,Dr. Isha Ganesan,T002,Mumbai Metro,Tier 2,2209122.02,51,60.51,4,High Value,Low Risk,18.2,0.306,0.264,0.974,53.1,Maintain engagement
230,HCP0054,Dr. Neel Sathe,T006,Gurgaon Corporate,Tier 3,2103027.87,30,46.8,55,Growth Potential,High Risk,65.3,0.264,0.978,0.224,53.1,Schedule follow-up call
231,HCP0365,Dr. Jagrati Morar,T005,Delhi NCR,Tier 2,5609126.07,20,45.25,9,Low Engagement,Medium Risk,42.5,0.87,0.495,0.138,53.0,Monitor low engagement
232,HCP0173,Dr. Oni Dubey,T005,Delhi NCR,Tier 2,3503658.49,39,51.41,9,Low Engagement,Medium Risk,31.7,0.602,0.495,0.595,52.8,Monitor low engagement
233,HCP0012,Dr. Anamika Kanda,T012,Jaipur Rajasthan,Tier 3,3463024.61,42,49.98,12,Low Engagement,Medium Risk,32.6,0.594,0.589,0.464,52.7,Monitor low engagement
234,HCP0091,Dr. Siddharth Sha,T007,Bengaluru Urban,Tier 1,1726543.93,39,58.08,19,Low Engagement,Medium Risk,34.3,0.178,0.756,0.942,52.7,Monitor low engagement
235,HCP0368,Dr. Amol Lal,T008,Hyderabad Central,Tier 1,2945915.53,38,48.03,23,Low Engagement,Medium Risk,43.5,0.478,0.826,0.309,52.6,Monitor low engagement
236,HCP0382,Dr. Brijesh Karpe,T010,Kolkata East,Tier 3,2241281.07,38,54.05,17,Low Engagement,Medium Risk,36.9,0.316,0.704,0.772,52.6,Monitor low engagement
237,HCP0278,Dr. Varenya Vora,T002,Mumbai Metro,Tier 2,2135659.92,58,48.86,16,High Value,Medium Risk,35.3,0.276,0.684,0.372,52.6,Maintain engagement
238,HCP0044,Dr. Yatin Baral,T008,Hyderabad Central,Tier 2,3871246.18,34,58.44,2,Low Engagement,Low Risk,24.0,0.68,0.155,0.954,52.5,Monitor low engagement
239,HCP0049,Dr. Nakul Sarma,T001,Pune Central,Tier 2,3589183.4,37,58.89,3,Low Engagement,Low Risk,22.5,0.622,0.216,0.96,52.4,Monitor low engagement
240,HCP0076,Dr. Warda Ratta,T004,Nagpur Vidarbha,Tier 3,3550009.99,53,53.64,0,High Value,Low Risk,19.4,0.61,0.038,0.747,52.4,Maintain engagement
241,HCP0345,Dr. Faris Zacharia,T009,Chennai Metro,Tier 3,2653232.44,36,50.28,19,Low Engagement,Medium Risk,42.0,0.422,0.756,0.5,52.4,Monitor low engagement
242,HCP0347,Dr. Chanchal Sheth,T011,Ahmedabad Gujarat,Tier 3,3871722.02,25,54.08,4,Low Engagement,Low Risk,33.3,0.682,0.264,0.776,52.3,Monitor low engagement
243,HCP0051,Dr. Anita Manda,T003,Nashik North,Tier 3,2274976.65,71,49.83,11,High Value,Medium Risk,31.3,0.324,0.563,0.452,52.3,Maintain engagement
244,HCP0267,Dr. Luke Sarma,T003,Nashik North,Tier 3,2163691.84,52,51.23,10,High Value,Medium Risk,31.0,0.284,0.529,0.568,52.2,Maintain engagement
245,HCP0141,Dr. Tanmayi Dhillon,T009,Chennai Metro,Tier 2,2414396.55,35,54.09,13,Low Engagement,Medium Risk,37.0,0.366,0.622,0.778,52.0,Monitor low engagement
246,HCP0436,Dr. Ijaya Chahal,T004,Nagpur Vidarbha,Tier 3,1902497.51,52,53.38,9,High Value,Medium Risk,29.2,0.218,0.495,0.724,52.0,Maintain engagement
247,HCP0171,Dr. Chakradev Barad,T003,Nashik North,Tier 3,1733186.5,49,49.22,35,Growth Potential,Medium Risk,45.1,0.18,0.913,0.406,51.9,Maintain engagement
248,HCP0181,Dr. Karan Aurora,T001,Pune Central,Tier 2,4853647.2,57,49.12,0,High Value,Medium Risk,21.4,0.792,0.038,0.392,51.7,Maintain engagement
249,HCP0095,Dr. Ishwar Kamdar,T011,Ahmedabad Gujarat,Tier 3,1279624.29,43,51.49,33,Growth Potential,Low Risk,45.8,0.07,0.903,0.606,51.7,Review growth opportunity
250,HCP0211,Dr. Dhriti Sanghvi,T007,Bengaluru Urban,Tier 2,2554946.38,37,58.27,8,Low Engagement,Low Risk,28.4,0.4,0.459,0.946,51.6,Monitor low engagement
251,HCP0488,Dr. Lucky Mammen,T008,Hyderabad Central,Tier 3,1605071.55,40,55.28,21,Low Engagement,Low Risk,37.9,0.146,0.802,0.869,51.5,Monitor low engagement
252,HCP0330,Dr. Qasim Dey,T006,Gurgaon Corporate,Tier 1,9175166.27,38,42.34,0,High Value,Low Risk,33.8,0.982,0.038,0.04,51.3,Maintain engagement
253,HCP0307,Dr. Avi Som,T007,Bengaluru Urban,Tier 2,5086194.21,38,53.61,1,Low Engagement,Low Risk,23.9,0.818,0.096,0.74,51.3,Monitor low engagement
254,HCP0133,Dr. Nandini Bansal,T001,Pune Central,Tier 2,3186603.0,46,49.11,5,High Value,Medium Risk,29.8,0.536,0.326,0.388,51.3,Maintain engagement
255,HCP0034,Dr. Guneet Bhat,T010,Kolkata East,Tier 3,3179954.79,26,56.27,5,Low Engagement,Low Risk,33.4,0.532,0.326,0.898,51.3,Monitor low engagement
256,HCP0419,Dr. Vincent Ravel,T011,Ahmedabad Gujarat,Tier 3,1820801.59,39,49.38,28,Growth Potential,Medium Risk,47.2,0.196,0.869,0.416,51.3,Maintain engagement
257,HCP0236,Dr. Sachi Mane,T008,Hyderabad Central,Tier 2,4271924.79,33,45.52,11,Low Engagement,Medium Risk,41.6,0.748,0.563,0.156,51.1,Monitor low engagement
258,HCP0103,Dr. Shravya Kohli,T007,Bengaluru Urban,Tier 1,1932693.26,27,57.22,15,Low Engagement,Medium Risk,40.5,0.226,0.668,0.912,51.1,Monitor low engagement
259,HCP0478,Dr. Advik Konda,T010,Kolkata East,Tier 2,3438290.15,33,45.88,18,Low Engagement,Medium Risk,46.3,0.586,0.73,0.178,50.9,Monitor low engagement
260,HCP0305,Dr. Gayathri Tripathi,T005,Delhi NCR,Tier 1,2857672.26,27,53.15,10,Low Engagement,Medium Risk,39.8,0.454,0.529,0.706,50.8,Monitor low engagement
261,HCP0104,Dr. Warda Nair,T008,Hyderabad Central,Tier 2,4044406.44,38,51.24,5,Low Engagement,Low Risk,29.8,0.702,0.326,0.572,50.7,Monitor low engagement
262,HCP0046,Dr. Karan Mital,T010,Kolkata East,Tier 2,3105584.55,42,52.62,8,Low Engagement,Low Risk,29.2,0.518,0.459,0.684,50.5,Monitor low engagement
263,HCP0455,Dr. Leela Chakraborty,T011,Ahmedabad Gujarat,Tier 2,3271734.85,45,42.93,9,High Value,Medium Risk,38.5,0.554,0.495,0.058,50.4,Monitor low engagement
264,HCP0343,Dr. Urmi Balay,T007,Bengaluru Urban,Tier 2,3591874.82,29,55.07,3,Low Engagement,Low Risk,31.7,0.624,0.216,0.852,50.3,Monitor low engagement
265,HCP0248,Dr. Wazir Mitra,T008,Hyderabad Central,Tier 1,2198330.54,36,50.03,25,Low Engagement,Medium Risk,46.4,0.3,0.848,0.473,50.3,Monitor low engagement
266,HCP0237,Dr. Dayamai Singh,T009,Chennai Metro,Tier 2,5212103.96,49,43.18,2,High Value,Low Risk,29.7,0.838,0.155,0.062,50.2,Maintain engagement
267,HCP0139,Dr. Ishaan Shenoy,T007,Bengaluru Urban,Tier 3,2947330.47,28,50.07,13,Low Engagement,Medium Risk,43.7,0.482,0.622,0.483,50.1,Monitor low engagement
268,HCP0215,Dr. Om Bose,T011,Ahmedabad Gujarat,Tier 2,3710653.87,38,50.68,6,Low Engagement,Low Risk,31.5,0.656,0.384,0.53,50.0,Monitor low engagement
269,HCP0112,Dr. Harish Hari,T004,Nagpur Vidarbha,Tier 3,3261239.86,46,49.02,4,High Value,Medium Risk,29.3,0.55,0.264,0.381,49.8,Maintain engagement
270,HCP0349,Dr. Isaiah Balay,T001,Pune Central,Tier 3,2225995.4,46,54.8,12,Low Engagement,Medium Risk,29.4,0.31,0.589,0.814,49.8,Monitor low engagement
271,HCP0009,Dr. Fariq Kaul,T009,Chennai Metro,Tier 3,1830582.61,32,54.34,18,Low Engagement,Medium Risk,43.0,0.198,0.73,0.793,49.6,Monitor low engagement
272,HCP0367,Dr. Dhriti Sachdev,T007,Bengaluru Urban,Tier 3,1317337.06,35,49.57,42,Growth Potential,Medium Risk,57.3,0.078,0.94,0.432,49.6,Maintain engagement
273,HCP0107,Dr. Vritti Sem,T011,Ahmedabad Gujarat,Tier 3,4019766.81,39,43.62,13,Low Engagement,Medium Risk,40.6,0.696,0.622,0.07,49.4,Monitor low engagement
274,HCP0326,Dr. Wakeeta Desai,T002,Mumbai Metro,Tier 3,2113927.32,51,52.35,6,High Value,Low Risk,28.7,0.272,0.384,0.669,49.4,Maintain engagement
275,HCP0136,Dr. Riya Behl,T004,Nagpur Vidarbha,Tier 3,1965684.97,50,42.0,25,High Value,High Risk,48.3,0.236,0.848,0.034,49.4,Schedule follow-up call
276,HCP0070,Dr. Owen Mitra,T010,Kolkata East,Tier 1,7748665.48,28,48.0,2,Low Engagement,Medium Risk,34.8,0.958,0.155,0.303,49.2,Monitor low engagement
277,HCP0314,Dr. Umang Mishra,T002,Mumbai Metro,Tier 2,3112672.69,49,42.67,9,High Value,Medium Risk,37.7,0.522,0.495,0.053,49.2,Monitor low engagement
278,HCP0002,Dr. Gagan Sami,T002,Mumbai Metro,Tier 3,2003237.93,36,54.64,14,Low Engagement,Medium Risk,37.9,0.244,0.651,0.807,49.2,Monitor low engagement
279,HCP0323,Dr. Vincent Warrior,T011,Ahmedabad Gujarat,Tier 3,1181899.45,40,49.3,51,Growth Potential,Medium Risk,57.3,0.052,0.966,0.414,49.1,Maintain engagement
280,HCP0138,Dr. Nathan Mukhopadhyay,T006,Gurgaon Corporate,Tier 2,3775944.19,28,50.89,5,Low Engagement,Low Risk,37.1,0.66,0.326,0.546,48.8,Monitor low engagement
281,HCP0240,Dr. Kamya Chauhan,T012,Jaipur Rajasthan,Tier 1,3694564.03,41,54.9,2,Low Engagement,Low Risk,23.1,0.646,0.155,0.832,48.8,Monitor low engagement
282,HCP0270,Dr. Mitali Murthy,T006,Gurgaon Corporate,Tier 3,1406813.59,33,58.09,17,Low Engagement,Medium Risk,39.3,0.108,0.704,0.944,48.7,Monitor low engagement
283,HCP0223,Dr. Shivani Guha,T007,Bengaluru Urban,Tier 2,4140157.8,41,44.9,10,Low Engagement,Medium Risk,36.3,0.72,0.529,0.126,48.5,Monitor low engagement
284,HCP0286,Dr. Omaja Balasubramanian,T010,Kolkata East,Tier 2,2857888.73,35,49.17,14,Low Engagement,Medium Risk,41.6,0.456,0.651,0.4,48.4,Monitor low engagement
285,HCP0386,Dr. Farhan Tella,T002,Mumbai Metro,Tier 2,5167862.69,45,45.31,0,High Value,Low Risk,28.2,0.836,0.038,0.144,48.3,Maintain engagement
286,HCP0454,Dr. Jai Sami,T010,Kolkata East,Tier 2,2926233.98,43,50.77,10,Low Engagement,Medium Risk,32.0,0.474,0.529,0.542,48.2,Monitor low engagement
287,HCP0067,Dr. Januja Sankar,T007,Bengaluru Urban,Tier 3,1999458.06,40,50.0,25,Low Engagement,Medium Risk,43.9,0.242,0.848,0.468,48.2,Monitor low engagement
288,HCP0167,Dr. Mekhala Pau,T011,Ahmedabad Gujarat,Tier 3,1908207.22,34,43.32,52,Growth Potential,High Risk,66.7,0.22,0.971,0.064,48.2,Schedule follow-up call
289,HCP0461,Dr. Charvi Jha,T005,Delhi NCR,Tier 3,3365623.92,37,45.38,15,Low Engagement,Medium Risk,42.9,0.576,0.668,0.146,48.1,Monitor low engagement
290,HCP0411,Dr. Hitesh Anne,T003,Nashik North,Tier 2,2668199.45,49,52.39,2,High Value,Low Risk,25.5,0.424,0.155,0.673,48.0,Maintain engagement
291,HCP0426,Dr. Qadim Prakash,T006,Gurgaon Corporate,Tier 1,2316667.38,46,51.8,13,Low Engagement,Medium Risk,32.7,0.336,0.622,0.626,47.9,Monitor low engagement
292,HCP0180,Dr. Kalpit Zachariah,T012,Jaipur Rajasthan,Tier 2,2535324.52,34,54.82,7,Low Engagement,Low Risk,34.3,0.394,0.421,0.82,47.8,Monitor low engagement
293,HCP0339,Dr. Gavin Uppal,T003,Nashik North,Tier 3,1543629.5,50,53.34,8,High Value,Low Risk,30.7,0.132,0.459,0.719,47.8,Maintain engagement
